Ticker,train_N_samples,train_MAE_price,train_RMSE_price,train_MAPE_pct,train_R2,train_DirAcc_pct,train_MAE_logret,train_N_correct,train_N_wrong,val_N_samples,val_MAE_price,val_RMSE_price,val_MAPE_pct,val_R2,val_DirAcc_pct,val_MAE_logret,val_N_correct,val_N_wrong,test_N_samples,test_MAE_price,test_RMSE_price,test_MAPE_pct,test_R2,test_DirAcc_pct,test_MAE_logret,test_N_correct,test_N_wrong
AAPL,866,1.943,2.5518,1.1415,0.9929,53.0023,0.011419,459,407,119,2.2401,2.9315,0.9944,0.9816,56.3025,0.009953,67,52,115,2.3244,3.1462,0.8795,0.892,53.913,0.008798,62,53
NVDA,866,1.2292,2.1348,2.3383,0.9975,54.8499,0.023418,475,391,119,2.3573,2.9504,1.4122,0.975,52.1008,0.014114,62,57,115,2.9525,3.8428,1.6005,0.7454,53.0435,0.016033,61,54
MSFT,866,3.5993,4.7006,1.1516,0.9953,53.1178,0.011516,460,406,119,3.3067,4.5055,0.6593,0.9626,48.7395,0.00659,58,61,115,4.8612,7.1751,1.1138,0.9774,52.1739,0.011117,60,55
GOOGL,866,1.8088,2.4018,1.382,0.9924,50.3464,0.013813,436,430,119,2.2526,3.071,1.1043,0.9916,57.9832,0.011069,69,50,115,3.6724,4.6926,1.1994,0.9226,54.7826,0.012013,63,52
AMZN,866,2.1629,2.8772,1.5178,0.9938,52.4249,0.015178,454,412,119,2.5813,3.5675,1.1728,0.8464,52.9412,0.011701,63,56,115,3.1879,4.0866,1.4073,0.922,58.2609,0.014094,67,48
META,866,5.0354,7.5048,1.7395,0.9976,54.0416,0.017361,468,398,119,8.3531,13.0377,1.1669,0.8992,52.1008,0.01164,62,57,115,9.6095,12.8642,1.5147,0.8651,51.3043,0.015192,59,56
TSLA,866,6.3984,8.8186,2.548,0.9836,55.6582,0.025481,482,384,119,8.3969,11.0028,2.3397,0.9536,49.5798,0.023381,59,60,115,7.8603,9.7998,1.8788,0.9199,54.7826,0.018812,63,52
AMD,866,2.6285,3.5127,2.2477,0.9888,51.2702,0.022465,444,422,119,3.7677,6.1315,2.2001,0.9731,52.9412,0.022049,63,56,115,5.3323,7.4986,2.4282,0.8604,57.3913,0.024324,66,49
TSM,866,1.8726,2.7964,1.5899,0.9948,52.4249,0.015905,454,412,119,3.6,4.8783,1.4571,0.9787,54.6218,0.014587,65,54,115,5.2723,6.9179,1.6001,0.9498,53.913,0.016008,62,53
AVGO,866,1.7521,3.3791,1.6856,0.9955,51.1547,0.016853,443,423,119,4.751,6.8887,1.5836,0.9727,56.3025,0.01582,67,52,115,6.6815,9.2189,1.9359,0.8629,47.8261,0.019367,55,60
INTC,866,0.5707,0.7987,1.727,0.9922,52.0785,0.017235,451,415,119,0.5934,0.8716,2.2474,0.981,53.7815,0.022489,64,55,115,1.2868,1.7993,2.8802,0.9323,60.8696,0.028755,70,45
ASML,866,12.4736,16.9094,1.8372,0.987,52.4249,0.018366,454,412,119,11.3731,15.7545,1.3804,0.9796,57.1429,0.013796,68,51,115,24.8624,32.132,1.9592,0.9644,51.3043,0.019621,59,56
ARM,411,3.9336,5.5107,3.0017,0.9292,52.5547,0.029975,216,195,58,2.391,2.9639,2.0436,0.833,53.4483,0.020495,31,27,25,4.4167,6.1209,3.0347,0.7965,64.0,0.030502,16,9
JPM,866,1.4499,2.0743,0.9819,0.9972,55.7737,0.009825,483,383,119,2.1255,2.7711,0.7419,0.9717,50.4202,0.007419,60,59,115,3.2667,4.3421,1.0684,0.8617,53.0435,0.010674,61,54
GS,866,4.0145,5.5819,1.1091,0.9957,54.9654,0.011096,476,390,119,6.7581,8.6633,0.959,0.9831,52.9412,0.009602,63,56,115,11.9179,15.8609,1.3677,0.9223,47.8261,0.013663,55,60
V,866,2.085,2.8264,0.9197,0.9939,55.5427,0.009201,481,385,119,2.9255,3.7867,0.8423,0.8261,53.7815,0.008416,64,55,115,3.0407,4.0834,0.9347,0.9312,53.0435,0.009348,61,54
MA,866,3.76,4.9826,1.0011,0.9941,52.6559,0.010015,456,410,119,4.5597,6.0903,0.8042,0.8056,56.3025,0.008036,67,52,115,5.4297,7.0216,1.0239,0.9245,46.9565,0.010242,54,61
PYPL,866,1.7201,2.8311,1.8139,0.9971,51.8476,0.018095,449,417,119,0.9766,1.4036,1.3885,0.7778,54.6218,0.013842,65,54,115,0.8297,1.2349,1.65,0.9791,51.3043,0.016419,59,56
JNJ,866,1.0329,1.381,0.6925,0.9577,54.8499,0.006926,475,391,119,1.0932,1.5227,0.667,0.9887,59.6639,0.006682,71,48,115,1.4834,1.9416,0.6707,0.9904,62.6087,0.006709,72,43
PFE,866,0.3567,0.4997,1.0733,0.9951,54.7344,0.010735,474,392,119,0.251,0.3592,1.0675,0.8617,52.1008,0.01067,62,57,115,0.2696,0.3454,1.0355,0.925,46.9565,0.010353,54,61
UNH,866,4.7436,6.5973,0.9891,0.977,52.3095,0.00989,453,413,119,5.6864,8.9928,1.8871,0.9269,52.9412,0.018852,63,56,115,4.8885,7.968,1.5955,0.9006,51.3043,0.015856,59,56
LLY,866,5.9943,9.186,1.1793,0.9984,56.582,0.011802,490,376,119,11.3808,16.4612,1.5252,0.8718,50.4202,0.015229,60,59,115,15.0015,20.335,1.4917,0.8992,53.913,0.014913,62,53
PG,866,1.0068,1.3719,0.7111,0.9887,55.5427,0.007111,481,385,119,1.0801,1.3073,0.6999,0.9159,50.4202,0.007,60,59,115,1.3636,1.6733,0.9164,0.9406,48.6957,0.009166,56,59
KO,866,0.3661,0.4935,0.6561,0.9884,56.4665,0.006561,489,377,119,0.4727,0.6002,0.695,0.8474,44.5378,0.006957,53,66,115,0.5248,0.6582,0.7141,0.9714,56.5217,0.007145,65,50
PEP,866,1.1078,1.4906,0.72,0.9747,54.5035,0.007198,472,394,119,1.3259,1.7531,0.9683,0.9531,45.3782,0.009693,54,65,115,1.2538,1.6294,0.8227,0.9668,55.6522,0.008234,64,51
COST,866,5.5898,7.6789,0.9595,0.9979,55.5427,0.009588,481,385,119,7.1994,9.9464,0.7424,0.9104,58.8235,0.007417,70,49,115,8.0903,10.3379,0.8522,0.9597,49.5652,0.008524,57,58
WMT,866,0.4204,0.6083,0.7883,0.9982,54.8499,0.007881,475,391,119,0.7696,1.0662,0.7735,0.9138,54.6218,0.007731,65,54,115,1.2519,1.6814,1.0506,0.963,51.3043,0.010513,59,56
XOM,866,1.0237,1.337,1.1519,0.9947,55.0808,0.011519,477,389,119,0.9657,1.1864,0.8922,0.9079,52.9412,0.008915,63,56,115,1.5381,2.0698,1.1078,0.9871,57.3913,0.011065,66,49
CVX,866,1.427,1.9173,1.0539,0.9886,56.6975,0.010536,491,375,119,1.2189,1.5389,0.8322,0.9557,54.6218,0.008318,65,54,115,1.7108,2.3058,0.9916,0.9869,62.6087,0.009905,72,43
BRK-B,866,2.4655,3.269,0.7186,0.9971,57.3903,0.007187,497,369,119,3.0496,3.6536,0.6242,0.9064,50.4202,0.006241,60,59,115,3.2165,4.4825,0.6539,0.8298,53.913,0.006532,62,53
