Ticker,train_N_samples,train_MAE_price,train_RMSE_price,train_MAPE_pct,train_R2,train_DirAcc_pct,train_MAE_logret,train_N_correct,train_N_wrong,val_N_samples,val_MAE_price,val_RMSE_price,val_MAPE_pct,val_R2,val_DirAcc_pct,val_MAE_logret,val_N_correct,val_N_wrong,test_N_samples,test_MAE_price,test_RMSE_price,test_MAPE_pct,test_R2,test_DirAcc_pct,test_MAE_logret,test_N_correct,test_N_wrong
BAJFINANCE.NS,851,7.8008,10.6038,1.1403,0.9672,56.7568,0.01142,483,368,117,9.5785,12.6198,1.0165,0.9551,47.8632,0.010172,56,61,112,12.7809,17.8328,1.3541,0.9213,57.1429,0.013542,64,48
SUNPHARMA.NS,851,9.6994,12.9772,0.8547,0.9987,53.4665,0.008556,455,396,117,11.5328,15.5431,0.7021,0.8467,57.265,0.007015,67,50,112,14.6103,19.1561,0.8489,0.8785,55.3571,0.008498,62,50
MARUTI.NS,851,91.822,124.7276,0.9821,0.9952,51.1163,0.009837,435,416,117,105.6339,147.155,0.7707,0.992,59.8291,0.007719,70,47,112,161.8648,204.59,1.1014,0.9768,54.4643,0.011032,61,51
HCLTECH.NS,851,11.8925,16.7718,1.0033,0.9969,52.9965,0.010038,451,400,117,12.2739,15.4088,0.8076,0.9753,54.7009,0.008076,64,53,112,15.8636,20.732,1.0406,0.9725,51.7857,0.010423,58,54
ADANIENT.NS,851,43.5515,73.9324,1.8021,0.9879,56.6392,0.018021,482,369,117,23.7431,32.3891,0.955,0.9184,52.1368,0.009557,61,56,112,32.7434,44.5,1.5366,0.9279,60.7143,0.015415,68,44
TITAN.NS,851,28.616,38.38,1.0112,0.9947,54.5241,0.010126,464,387,117,25.4457,35.5277,0.722,0.8967,57.265,0.007219,67,50,112,37.8968,53.0997,0.9272,0.9255,57.1429,0.009285,64,48
TATASTEEL.NS,851,1.5077,2.0944,1.2866,0.9915,54.6416,0.01288,465,386,117,1.585,2.0591,0.9724,0.9266,46.1538,0.009735,54,63,112,2.5238,3.4088,1.3349,0.9447,55.3571,0.013358,62,50
NTPC.NS,851,2.4817,3.9055,1.1101,0.9984,53.349,0.011105,454,397,117,2.1988,2.7224,0.6672,0.7263,49.5726,0.006671,58,59,112,3.2214,4.1631,0.9106,0.9705,49.1071,0.009125,55,57
ASIANPAINT.NS,851,27.2171,36.8371,0.9254,0.98,55.3467,0.009263,471,380,117,17.554,22.3756,0.7267,0.956,58.9744,0.007269,69,48,112,30.0698,38.1976,1.1889,0.9775,56.25,0.011915,63,49
KOTAKBANK.NS,851,3.5014,4.7983,0.961,0.9325,53.584,0.009616,456,395,117,3.4723,4.8844,0.833,0.9193,55.5556,0.008329,65,52,112,3.6854,4.7472,0.9126,0.96,55.3571,0.009145,62,50
M&M.NS,851,19.8377,28.612,1.2068,0.9985,52.7615,0.01208,449,402,117,31.6576,42.6606,0.9654,0.959,52.1368,0.009656,61,56,112,42.0572,55.0189,1.2451,0.9474,51.7857,0.012471,58,54
ADANIPORTS.NS,851,13.3248,21.8325,1.4569,0.9941,52.879,0.014568,450,401,117,12.3428,15.0815,0.8835,0.8781,53.8462,0.008843,63,54,112,18.0797,24.8332,1.2459,0.8523,57.1429,0.012493,64,48
AXISBANK.NS,851,9.4551,12.7206,1.0253,0.9948,53.4665,0.010265,455,396,117,9.1706,12.4003,0.792,0.9602,48.7179,0.007918,57,60,112,14.2837,19.7595,1.1167,0.8802,51.7857,0.011182,58,54
ONGC.NS,851,2.2138,3.4589,1.3124,0.9967,52.879,0.013132,450,401,117,1.3961,1.8421,0.604,0.8937,53.8462,0.006036,63,54,112,2.7058,3.9464,1.0626,0.9596,50.8929,0.010627,57,55
ULTRACEMCO.NS,851,80.6684,109.0665,0.9759,0.9966,54.2891,0.009772,462,389,117,84.1831,107.7498,0.6953,0.9513,52.9915,0.00695,62,55,112,127.965,176.2819,1.0885,0.9242,51.7857,0.010923,58,54
POWERGRID.NS,851,2.1674,3.2846,1.1014,0.9979,49.8237,0.011014,424,427,117,2.2566,2.8802,0.8019,0.7061,44.4444,0.008015,52,65,112,2.4605,3.3042,0.8796,0.9671,57.1429,0.008813,64,48
COALINDIA.NS,851,3.0867,4.8862,1.2622,0.9983,51.2338,0.012628,436,415,117,2.1599,2.7883,0.5874,0.8745,55.5556,0.005871,65,52,112,4.9106,6.8418,1.1603,0.9488,45.5357,0.01162,51,61
WIPRO.NS,851,2.4827,3.4367,1.069,0.9938,54.2891,0.010708,462,389,117,2.0832,2.6928,0.8565,0.8496,53.8462,0.008567,63,54,112,2.5835,3.4146,1.1369,0.9798,47.3214,0.011371,53,59
BAJAJFINSV.NS,851,17.9128,23.8001,1.1323,0.9791,53.114,0.011339,452,399,117,15.3429,19.4075,0.7606,0.8855,52.9915,0.007606,62,55,112,20.3894,27.6216,1.0602,0.9544,50.8929,0.01061,57,55
