Ticker,N_samples,MAE_price,RMSE_price,MAPE_pct,R2,DirAcc_pct,MAE_logret,N_correct,N_wrong
RELIANCE.NS,851,11.8882,15.964,0.9731,0.9867,54.0541,0.009743,460,391
TCS.NS,851,30.2379,40.2277,0.9004,0.9904,51.7039,0.009014,440,411
HDFCBANK.NS,851,6.3804,8.9511,0.8486,0.979,54.6416,0.008494,465,386
BHARTIARTL.NS,851,8.999,12.6225,0.9322,0.9985,52.879,0.009333,450,401
ICICIBANK.NS,851,7.8518,10.698,0.8537,0.9967,53.9365,0.008546,459,392
SBIN.NS,851,6.17,9.0205,1.0461,0.9955,57.2268,0.010468,487,364
INFY.NS,851,15.4794,20.6018,1.0449,0.9887,52.9965,0.010457,451,400
HINDUNILVR.NS,851,20.763,27.6937,0.884,0.9786,51.7039,0.008861,440,411
ITC.NS,851,2.7419,3.7207,0.8608,0.9984,54.0541,0.008616,460,391
LT.NS,851,26.194,38.179,1.023,0.9977,55.5817,0.010237,473,378
BAJFINANCE.NS,851,7.8008,10.6038,1.1403,0.9672,56.7568,0.01142,483,368
SUNPHARMA.NS,851,9.6994,12.9772,0.8547,0.9987,53.4665,0.008556,455,396
MARUTI.NS,851,91.822,124.7276,0.9821,0.9952,51.1163,0.009837,435,416
HCLTECH.NS,851,11.8925,16.7718,1.0033,0.9969,52.9965,0.010038,451,400
ADANIENT.NS,851,43.5515,73.9324,1.8021,0.9879,56.6392,0.018021,482,369
TITAN.NS,851,28.616,38.38,1.0112,0.9947,54.5241,0.010126,464,387
TATASTEEL.NS,851,1.5077,2.0944,1.2866,0.9915,54.6416,0.01288,465,386
NTPC.NS,851,2.4817,3.9055,1.1101,0.9984,53.349,0.011105,454,397
ASIANPAINT.NS,851,27.2171,36.8371,0.9254,0.98,55.3467,0.009263,471,380
KOTAKBANK.NS,851,3.5014,4.7983,0.961,0.9325,53.584,0.009616,456,395
M&M.NS,851,19.8377,28.612,1.2068,0.9985,52.7615,0.01208,449,402
ADANIPORTS.NS,851,13.3248,21.8325,1.4569,0.9941,52.879,0.014568,450,401
AXISBANK.NS,851,9.4551,12.7206,1.0253,0.9948,53.4665,0.010265,455,396
ONGC.NS,851,2.2138,3.4589,1.3124,0.9967,52.879,0.013132,450,401
ULTRACEMCO.NS,851,80.6684,109.0665,0.9759,0.9966,54.2891,0.009772,462,389
POWERGRID.NS,851,2.1674,3.2846,1.1014,0.9979,49.8237,0.011014,424,427
COALINDIA.NS,851,3.0867,4.8862,1.2622,0.9983,51.2338,0.012628,436,415
WIPRO.NS,851,2.4827,3.4367,1.069,0.9938,54.2891,0.010708,462,389
BAJAJFINSV.NS,851,17.9128,23.8001,1.1323,0.9791,53.114,0.011339,452,399
